Title,IMDB id,Year,Rating,Genre,Top_cast
3 Idiots,tt1187043,2009,8.4,"Comedy, Drama","Aamir KhanRancho, MadhavanFarhan(as R. Madhavan), Mona SinghMona"
Taare Zameen Par,tt0986264,2007,8.3,"Drama, Family","Darsheel SafaryIshaan, Aamir KhanNikumbh Sir, Tanay ChhedaRajan"
PK,tt2338151,2014,8.1,"Comedy, Drama, Sci-Fi","Aamir KhanPK, Anushka SharmaJagat Janani Sahni (Jaggu), Sanjay DuttBhairon Singh"
Dangal,tt5074352,2016,8.3,"Action, Biography, Drama","Aamir KhanMahavir Singh Phogat, Sakshi TanwarDaya Kaur, Fatima Sana ShaikhGeeta Phogat"
Rang De Basanti,tt0405508,2006,8.1,"Comedy, Crime, Drama","Aamir KhanDaljeet 'DJ'…, Soha Ali KhanSonia(as Soha Ali Khan Pataudi)…, SiddharthKaran R. Singhania…"
Lagaan: Once Upon a Time in India,tt0169102,2001,8.1,"Drama, Musical, Sport","Aamir KhanBhuvan, Raghubir YadavBhura(as Raghuveer Yadav), Gracy SinghGauri"
My Name Is Khan,tt1188996,2010,7.9,"Adventure, Drama, Romance","Shah Rukh KhanRizvan Khan, KajolMandira Khan, Sheetal MenonRadha"
"Swades: We, the People",tt0367110,2004,8.2,"Drama, Musical","Shah Rukh KhanMohan Bhargava, Gayatri JoshiGita, Kishori BallalKaveri amma"
Gangs of Wasseypur,tt1954470,2012,8.2,"Action, Comedy, Crime","Manoj BajpayeeSardar Khan, Nawazuddin SiddiquiFaisal Khan, Tigmanshu DhuliaRamadhir Singh"
Gangs of Wasseypur,tt1954470,2012,8.2,"Action, Comedy, Crime","Manoj BajpayeeSardar Khan, Nawazuddin SiddiquiFaisal Khan, Tigmanshu DhuliaRamadhir Singh"
Barfi!,tt2082197,2012,8.1,"Comedy, Drama, Romance","Ranbir KapoorMurphy…, Priyanka Chopra JonasJhilmil Chatterjee(as Priyanka Chopra), Ileana D'CruzShruti Ghosh Sengupta"
Chak De! India,tt0871510,2007,8.1,"Drama, Family, Sport","Shah Rukh KhanKabir Khan, Vidya MalvadeVidya Sharma, Sagarika GhatgePreety Sabharwal"
Munna Bhai M.B.B.S.,tt0374887,2003,8.1,"Comedy, Drama","Sanjay DuttMurli Prasad Sharma (Munna Bhai), Arshad WarsiSarkeshwar (Circuit), Gracy SinghDr. Suman Asthana (Chinki)"
Bajrangi Bhaijaan,tt3863552,2015,8.1,"Action, Adventure, Comedy","Salman KhanPawan Kumar Chaturvedi…, Harshaali MalhotraShahida…, Nawazuddin SiddiquiChand Nawab"
Dil Chahta Hai,tt0292490,2001,8.1,"Comedy, Drama, Romance","Aamir KhanAkash Malhotra, Saif Ali KhanSameer, Akshaye KhannaSiddharth Sinha"
Zindagi Na Milegi Dobara,tt1562872,2011,8.2,"Comedy, Drama, Musical","Hrithik RoshanArjun Saluja, Farhan AkhtarImraan Qureshi, Abhay DeolKabir Dewan"
Dilwale Dulhania Le Jayenge,tt0112870,1995,8,"Drama, Romance","Shah Rukh KhanRaj Malhotra, KajolSimran Singh, Amrish PuriChaudhry Baldev Singh"
Kal Ho Naa Ho,tt0347304,2003,7.9,"Comedy, Drama, Musical","Preity G ZintaNaina Catherine Kapur(as Preity Zinta), Shah Rukh KhanAman Mathur, Saif Ali KhanRohit"
Drishyam,tt4430212,2015,8.2,"Crime, Drama, Mystery","Ajay DevgnVijay Salgaonkar, Shriya SaranNandini Salgaonkar, TabuIGP Meera Deshmukh"
Gunday,tt2574698,2014,2.7,"Action, Drama, Musical","Ranveer SinghBikram, Arjun KapoorBala, Priyanka Chopra JonasNandita(as Priyanka Chopra)"
Queen of the South,tt1064899,2016–2021,8,"Action, Crime, Drama","Alice BragaTeresa Mendoza62 eps • 2016–202162 episodes • 2016–2021, Hemky MaderaPote Galvez55 eps • 2016–202155 episodes • 2016–2021, Peter GadiotJames Valdez49 eps • 2016–202149 episodes • 2016–2021"
