Title,IMDB id,Year,Rating,Genre,Top_cast
3 Idiots,tt1187043,2009,8.4,"Comedy, Drama","Aamir Khan, Madhavan, Sharman Joshi"
Like Stars on Earth,tt0986264,2007,8.3,"Drama, Family","Darsheel Safary, Aamir Khan, Tanay Chheda"
PK,tt2338151,2014,8.1,"Comedy, Drama, Sci-Fi"," Aamir Khan, Anushka Sharma, Saurabh Shukla"
Dangal,tt5074352,2016,8.3," Action, Biography, Drama, Sport","Aamir Khan, Fatima Sana Shaikh, Sanya Malhotra"
Rang De Basanti,tt0405508,2006,8.1,"Comedy, Crime, Drama","Aamir Khan, Siddharth, Sharman Joshi"
Lagaan: Once Upon a Time in India,tt0169102,2001,8.1,"Drama, Musical, Sport","Aamir Khan, Gracy Singh, Rachel Shelley"
My Name Is Khan,tt1188996,2010,7.9,"Adventure, Drama, Romance"," Shah Rukh Khan, Kajol, Katie Amanda Keane "
Swades,tt0367110,2004,8.2,"Drama, Musical","Shah Rukh Khan, Gayatri Joshi, Kishori Ballal"
Gangs of Wasseypur,tt1954470,2012,8.2,"Action, Comedy, Crime, Drama, Thriller","Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu"
Gangs of Wasseypur,tt1954470,2012,8.2,"Action, Comedy, Crime, Drama, Thriller","Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu"
Barfi!,tt2082197,2012,8.1,"Comedy, Drama, Romance","Ranbir Kapoor, Priyanka Chopra Jonas, Ileana"
Chak De! India,tt0871510,2007,8.1,"Drama, Family, Sport","Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge"
Munna Bhai M.B.B.S.,tt0374887,2003,8.1,"Comedy, Drama","Sanjay Dutt, Arshad Warsi, Gracy Singh"
Bajrangi Bhaijaan,tt3863552,2015,8.1,"Action, Adventure, Comedy, Drama","Salman Khan, Harshaali Malhotra, Nawazuddin"
Dil Chahta Hai,tt0292490,2001,8.1,"Comedy, Drama, Romance"," Aamir Khan, Saif Ali Khan, Akshaye Khanna"
Zindagi Na Milegi Dobara,tt1562872,2011,8.2,"Comedy, Drama, Musical, Romance","Hrithik Roshan, Farhan Akhtar, Abhay Deol"
Dilwale Dulhania Le Jayenge,tt2714436,1995,8,"Drama, Romance"," Shah Rukh Khan, Kajol, Amrish Puri"
Kal Ho Naa Ho,tt0347304,2003,7.9,"Comedy, Drama, Musical, Romance","Shah Rukh Khan, Preity G Zinta, Saif Ali Khan"
Drishyam,tt4430212,2015,8.2,"Crime, Drama, Mystery, Thriller","Ajay Devgn, Shriya Saran, Tabu"
Gunday,tt2574698,2014,2.7,"Action, Drama, Musical, Romance","Ranveer Singh, Arjun Kapoor, Priyanka Chopra "
Queen & Country,tt2392810,2014,6.2," Biography, Comedy, Drama, History","Callum Turner, Caleb Landry Jones, Pat Shortt"
Children of Heaven,tt0118849,1997,8.2," Drama, Family, Sport","Mohammad Amir Naji, Amir Farrokh Hashemian"
Bhaag Milkha Bhaag,tt2356180,2013,8.2,"Biography, Drama, Sport","Farhan Akhtar, Kousi Orfahli, Deepak Singh Rawat"
Rocky Aur Rani Kii Prem Kahaani,tt14993250,2023,6.5,"Comedy, Drama, Family, Romance","Ranveer Singh, Alia Bhatt, Dharmendra  "
Ghajini,tt1166100,2008,7.3,"Action, Drama, Mystery, Romance, Thriller "," Aamir Khan, Asin Thottumkal, Jiah Khan  "
Andhadhun,tt8108198,2018,8.2,"Crime, Mystery, Thriller"," Tabu, Ayushmann Khurrana, Radhika Apte  "
Hera Pheri,tt0242519,2000,8.2,"Action, Comedy, Crime, Drama "," Akshay Kumar, Suniel Shetty, Paresh Rawal  "
Airlift,tt4387040,2016,7.9,"Action, Drama, History"," Akshay Kumar, Nimrat Kaur, Kumud Mishra  "
Baby,tt3890160,2017,7.5,"Action, Crime, Drama, Music"," Ansel Elgort, Jon Bernthal, Jon Hamm"
Jab Tak Hai Jaan,tt2176013,2012,6.7,"Drama, Romance","Shah Rukh Khan, Anupam Kher, Katrina Kaif  "
Sholay,tt0073707,1975,8.1,"Action, Adventure, Comedy, Drama, Musical, Thriller","Sanjeev Kumar, Dharmendra, Amitabh Bachchan  "
Don 2,tt1285241,2011,7.1,"Action, Crime, Thriller","Shah Rukh Khan, Priyanka Chopra Jonas, Boman I...  "
Haider,tt3390572,2014,8," Action, Crime, Drama, Thriller"," Tabu, Shahid Kapoor, Shraddha Kapoor  "
Special 26,tt2377938,2013,8," Crime, Drama, Thriller"," Akshay Kumar, Anupam Kher, Manoj Bajpayee  "
Andaz Apna Apna,tt0109117,1994,8,"Action, Comedy, Romance "," Aamir Khan, Salman Khan, Raveena Tandon  "
OMG: Oh My God!,tt2283748,2012,8.1,"Comedy, Drama, Fantasy"," Paresh Rawal, Akshay Kumar, Mithun Chakraborty  "
Veer-Zaara,tt0420332,2004,7.8,"Drama, Family, Musical, Romance","Shah Rukh Khan, Preity G Zinta, Rani Mukerji  "
Chennai Express,tt2112124,2013,6.1,"Action, Comedy, Drama, Romance"," Deepika Padukone, Shah Rukh Khan, Nikitin Dheer  "
Kuch Kuch Hota Hai,tt0172684,1998,7.5,"Comedy, Drama, Musical, Romance"," Shah Rukh Khan, Kajol, Rani Mukerji  "
The Lunchbox,tt2350496,2013,7.8,"Drama, Romance","Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui  "
Jab We Met,tt1093370,2007,7.9,"Comedy, Drama, Romance"," Shahid Kapoor, Kareena Kapoor, Tarun Arora  "
Sanju,tt6452574,2018,7.6,"Biography, Comedy, Drama","Ranbir Kapoor, Paresh Rawal, Manisha Koirala  "
Kabhi Khushi Kabhie Gham...,tt0248126,2001,7.4,"Drama, Musical, Romance","Amitabh Bachchan, Jaya Bachchan, Shah Rukh Khan  "
Dhoom 3,tt1833673,2013,5.4," Action, Crime, Drama, Thriller"," Aamir Khan, Abhishek Bachchan, Katrina Kaif  "
Rab Ne Bana Di Jodi,tt1182937,2008,7.2,"Comedy, Drama, Music, Romance","Shah Rukh Khan, Anushka Sharma, Vinay Pathak  "
Fan,tt3495026,1992,5.2,"Comedy, Drama","Claudia Koll, Paolo Lanza, Franco Branciaroli  "
Udaan,tt1639426,2010,8.1,Drama,"Rajat Barmecha, Ronit Roy, Manjot Singh  "
